t,AcX,AcY,AcZ,GyX,GyY,GyZ
4.839,-0.959,-0.014,-0.129,-7.137,-3.511,1.534
4.89,-0.953,-0.01,-0.107,-6.053,-3.626,5.137
4.94,-0.944,-0.009,-0.122,-5.58,-2.939,2.397
4.992,-0.938,-0.016,-0.133,-6.008,-2.328,1.573
5.043,-0.947,-0.008,-0.125,-5.16,-2.183,5.076
5.094,-0.935,-0.012,-0.119,-7.382,0.855,0.267
5.143,-0.945,0.006,-0.095,-5.962,-0.084,0.481
5.193,-0.949,0.005,-0.096,-6.756,0.107,-0.168
5.243,-0.926,0.011,-0.092,-4.008,0.122,3.458
5.293,-0.946,0.013,-0.097,-4.229,0.969,1.069
5.341,-0.966,0.005,-0.097,-5.053,0.542,-2.29
5.391,-0.931,0,-0.117,-7.038,-1.779,-2.679
5.443,-0.925,0.012,-0.095,-6.122,-0.969,-3.031
5.494,-0.958,-0.006,-0.101,-7.664,-2.733,-1.267
5.546,-0.954,0.004,-0.066,-6.26,-4.748,0.634
5.596,-0.931,-0.002,-0.089,-5.519,-4.023,-2.298
5.648,-0.937,-0.007,-0.075,-4.069,-4.992,2.695
5.699,-0.94,-0.009,-0.083,-3.611,-2.977,2.069
5.75,-0.926,-0.004,-0.085,-2.275,-1.58,3.466
5.8,-0.935,0.01,-0.076,-2.076,1.023,-2.244
5.851,-0.947,-0.004,-0.094,-1.855,1.458,0.122
5.901,-0.951,0.007,-0.08,-1.748,1.015,-2.916
5.951,-0.93,0.001,-0.094,-2.252,0.573,-1.137
6,-0.919,0.021,-0.103,3.237,-1.939,4.084
6.049,-0.925,-0.016,-0.102,0.389,-2.198,-3.634
6.101,-0.913,-0.014,-0.111,4.595,-5.718,-1.374
6.152,-0.93,0.002,-0.101,-1.679,-5.473,-5.359
6.202,-0.926,-0.011,-0.103,-3.069,-5.13,-7.466
6.254,-0.933,0.001,-0.096,-2.26,-4.076,-3.542
6.305,-0.947,-0.021,-0.103,-2.466,-6.87,-0.389
6.358,-0.916,-0.016,-0.099,-3.725,-0.427,-9.573
6.409,-0.896,-0.027,-0.096,-2.618,-2.664,-7.176
6.461,-0.945,-0.053,-0.093,-0.878,2.947,-12.794
6.513,-0.966,-0.027,-0.072,-4.771,-4.092,-7.427
6.565,-0.983,-0.036,-0.07,-1.061,-0.008,-7.931
6.618,-0.966,-0.055,-0.085,-1.115,-2.122,-7.802
6.669,-0.964,-0.063,-0.093,-2.137,1.985,-9.328
6.72,-0.985,-0.057,-0.08,-2.954,0.519,-7.511
6.771,-0.973,-0.088,-0.103,0.084,0.053,2.969
6.82,-0.964,-0.075,-0.083,-3.649,-0.015,-4.626
6.872,-0.957,-0.077,-0.105,-2.519,1.023,-4.878
6.923,-0.963,-0.081,-0.101,-3.832,1.115,-3.198
6.974,-0.952,-0.079,-0.093,-2.519,1.672,-0.702
7.025,-0.95,-0.095,-0.117,-3.656,-0.55,-2.137
7.076,-0.932,-0.063,-0.102,-8.473,7.924,-6.099
7.128,-0.948,-0.076,-0.09,-2.641,-1.519,2.115
7.179,-0.928,-0.09,-0.11,-3.466,-1.603,1.58
7.23,-0.944,-0.078,-0.093,-3.908,-2.046,-4.092
7.282,-0.959,-0.092,-0.089,-1.634,-1.191,-0.58
7.333,-0.949,-0.071,-0.074,-2.557,-0.931,-0.84
7.386,-0.946,-0.07,-0.076,-2.573,1.534,-3.046
7.437,-0.955,-0.08,-0.07,-0.122,1.855,2.855
7.487,-0.947,-0.065,-0.075,1.313,2.336,3.45
7.535,-0.93,-0.074,-0.096,1.679,1.389,-2.504
7.585,-0.947,-0.085,-0.097,-0.954,3.58,-3.534
7.637,-0.939,-0.063,-0.075,2.359,1.908,-2.748
7.687,-0.927,-0.077,-0.1,3.374,2.55,-2.076
7.736,-0.95,-0.068,-0.103,1.244,2.458,-7.145
7.786,-0.951,-0.092,-0.105,3.901,1.008,-1.588
7.836,-0.945,-0.092,-0.13,2.321,1.321,-2.84
7.886,-0.934,-0.088,-0.125,2.565,3.145,-1.931
7.936,-0.955,-0.097,-0.134,0.046,3.26,-4.092
7.986,-0.957,-0.078,-0.132,0.481,2.969,-4.802
8.036,-0.967,-0.094,-0.145,0.87,0.954,-1.275
8.086,-0.939,-0.107,-0.161,0.282,0.511,-0.336
8.135,-0.956,-0.123,-0.149,0.061,1.634,-0.863
8.185,-0.962,-0.096,-0.153,1.366,0.099,2.878
8.235,-0.947,-0.093,-0.151,-0.58,-0.389,0.84
8.286,-0.959,-0.101,-0.158,1.214,-1.305,1.26
8.335,-0.913,-0.097,-0.175,-0.618,-1.221,-1.481
8.387,-0.943,-0.098,-0.167,-1.221,0.168,-0.748
8.438,-0.976,-0.088,-0.135,-1.473,0.305,-1.038
8.49,-0.933,-0.076,-0.16,0.389,0.237,-0.267
8.539,-0.947,-0.081,-0.167,1.038,-1.244,0.55
8.589,-0.944,-0.091,-0.165,-1.305,0.198,-0.252
8.64,-0.926,-0.097,-0.172,-1.366,-0.985,-0.611
8.692,-0.944,-0.086,-0.164,-0.878,-1.366,0.176
8.743,-0.943,-0.088,-0.146,-1.389,-1.13,-1.779
8.795,-0.945,-0.105,-0.168,-1.832,0.053,-1.954
8.846,-0.946,-0.091,-0.15,-2.42,0.733,-1.321
8.897,-0.951,-0.092,-0.156,-3.542,-0.954,0.55
8.948,-0.947,-0.084,-0.144,-2.008,-2.038,1.603
8.998,-0.963,-0.087,-0.127,-3.595,-2.817,-0.603
9.051,-0.948,-0.093,-0.143,-2.229,-4.527,4.42
9.102,-0.951,-0.088,-0.156,-2.947,-3.29,5.008
9.153,-1.006,-0.097,-0.134,-3.153,1.397,-1.008
9.203,-0.989,-0.074,-0.139,-2.885,5.168,2.031
9.253,-0.967,-0.08,-0.172,-5.656,5.489,0.519
9.304,-1.007,-0.08,-0.163,-5.901,3.489,1.611
9.354,-1.006,-0.069,-0.132,-5.298,0.733,5.115
9.403,-0.946,-0.089,-0.155,-2.389,1.573,-3.427
9.454,-0.925,-0.071,-0.153,-5.519,-0.458,0.595
9.505,-0.944,-0.133,-0.167,-7.366,-4.534,4.565
9.557,-0.917,-0.072,-0.175,-6.664,-2.84,8.061
9.608,-0.923,-0.049,-0.151,0.664,-4.74,19.137
9.658,-0.913,-0.044,-0.156,-4.206,-3.42,3.015
9.709,-0.912,-0.035,-0.144,-3.191,-5.13,1.412
9.76,-0.932,-0.037,-0.136,-1.985,-2.038,5.267
9.811,-0.896,-0.017,-0.143,-3.008,-1.71,1.511
9.862,-0.932,-0.035,-0.128,-1.237,-1.626,3.282
9.913,-0.945,-0.043,-0.14,-2.244,-1.626,-1.733
9.965,-0.968,-0.029,-0.135,-1.176,-1.786,0.672
10.016,-0.917,-0.02,-0.154,-0.374,-4.237,4.595
10.067,-0.924,-0.013,-0.148,-2.092,-1.527,-0.252
10.121,-0.96,-0.039,-0.138,-0.687,-2.137,0.519
10.173,-0.952,-0.019,-0.152,-1.321,-1.878,0.779
10.225,-0.941,-0.025,-0.167,-4.702,-2.74,-3.351
10.278,-0.97,-0.016,-0.16,-3.672,-3.305,1.908
10.33,-0.968,-0.029,-0.161,-7.015,-3.504,-1.893
10.383,-0.956,-0.021,-0.157,-6.977,-6.107,0.802
10.435,-0.955,-0.017,-0.146,-7.565,-5.588,1.748
10.487,-0.944,-0.019,-0.155,-6.496,-4.672,3.389
10.54,-0.932,-0.026,-0.148,-7.763,-3.282,0.015
10.591,-0.947,-0.03,-0.142,-7.573,-3.015,2.092
10.643,-0.955,-0.006,-0.112,-6.519,-2.405,1.16
10.695,-0.943,-0.016,-0.122,-4.687,-3.756,5.588
10.747,-0.949,0.004,-0.12,-5.374,-0.237,2.473
10.798,-0.96,-0.034,-0.132,-6.557,0.191,-0.611
10.85,-0.942,0.005,-0.102,-5.374,0.244,1.969
10.9,-0.922,-0.008,-0.132,-6.397,0.786,-0.702
10.952,-0.99,-0.013,-0.104,-6.603,0.824,-1.305
11.003,-0.937,-0.011,-0.107,-7.038,0.061,-0.794
11.056,-0.94,-0.023,-0.109,-6.313,-0.076,0.931
11.108,-0.928,-0.003,-0.084,-7.374,-0.802,-2.611
11.161,-0.943,-0.012,-0.085,-4.214,-2.053,1.206
11.213,-0.946,-0.019,-0.089,-6.817,-0.496,-1.756
11.266,-0.964,-0.002,-0.071,-5.267,-1.328,-3.015
11.319,-0.972,-0.037,-0.096,-5.214,-2.855,-0.534
11.372,-0.959,0,-0.087,-4.443,-4.015,0.588
11.423,-0.949,0.002,-0.089,-2.45,-4.924,2.71
11.474,-0.962,-0.016,-0.091,-2.618,-3.649,0.328
11.526,-0.928,-0.015,-0.097,-2.489,-2.893,2.305
11.578,-0.933,-0.013,-0.096,-0.771,-1.176,3.618
11.63,-0.91,-0.025,-0.102,-1.702,0.924,-1.504
11.682,-0.914,-0.002,-0.104,0.626,1.168,3.168
11.731,-0.925,-0.03,-0.119,-2.718,2.29,-4.42
11.784,-0.915,-0.009,-0.111,-2.794,1.023,-7.221
11.836,-0.951,-0.028,-0.121,-1.053,-0.176,-6.626
11.889,-0.937,-0.014,-0.131,-3.992,-1.145,-7.374
11.942,-0.946,-0.025,-0.103,-4.038,-6.16,-6.214
11.995,-0.944,-0.062,-0.123,-4.198,-4.519,-6.87
12.048,-0.954,-0.039,-0.101,-2.26,-5.954,-4.557
12.101,-0.939,-0.05,-0.097,-3.435,0.763,-10.672
12.154,-0.958,-0.044,-0.105,0.038,0.656,-6.099
12.206,-0.983,-0.053,-0.107,-1.885,5.099,-10.603
12.258,-1.006,-0.074,-0.11,0.282,1.58,-3.122
12.309,-0.988,-0.045,-0.093,-2.672,-0.092,-3.847
12.362,-0.935,-0.056,-0.102,-3.313,-1.137,-6.58
12.416,-0.977,-0.088,-0.128,-0.695,-0.282,-3.382
12.468,-0.929,-0.073,-0.138,-1.809,-2.153,-2
12.521,-0.969,-0.091,-0.132,-4.122,1.038,-6.939
12.573,-0.965,-0.095,-0.124,-4.962,0.45,-3.389
12.625,-0.959,-0.083,-0.124,-3.878,-4.191,-0.695
12.679,-0.942,-0.087,-0.108,-2.076,-4.313,1.336
12.73,-0.933,-0.08,-0.107,-2.763,-2.206,-2.595
12.783,-0.966,-0.098,-0.101,-2.626,-2.435,-3.084
12.836,-0.97,-0.083,-0.098,-2.076,0.237,0.336
12.888,-0.952,-0.081,-0.103,-3.336,-1.038,-0.145
12.941,-0.95,-0.092,-0.083,-3.771,1.748,-0.672
12.992,-0.936,-0.083,-0.072,-2.252,1.565,1.618
13.043,-0.944,-0.088,-0.063,-2.092,4.672,-2.26
13.095,-0.949,-0.094,-0.076,-1.275,3.771,-3.183
13.148,-0.931,-0.082,-0.076,1.435,3.336,-0.252
13.198,-0.927,-0.099,-0.094,2.756,4.771,-0.672
13.249,-0.951,-0.088,-0.072,3.183,2.076,-3.168
13.3,-0.933,-0.086,-0.087,5.099,-0.481,-4.107
13.352,-0.948,-0.112,-0.095,5.786,-3.191,-1.87
13.405,-0.975,-0.093,-0.097,5.069,1.382,-5.588
13.455,-0.961,-0.109,-0.154,3.649,0.069,2.153
13.505,-0.928,-0.069,-0.154,0.794,1.748,-3.71
13.556,-0.985,-0.104,-0.145,3.336,0.733,1.061
13.606,-0.939,-0.105,-0.158,0.466,3.504,-1.504
13.657,-0.932,-0.106,-0.167,-1.282,3.443,-0.145
13.709,-0.943,-0.1,-0.158,-2.351,1.74,1.656
13.76,-0.944,-0.101,-0.146,-3.618,2.901,-0.313
13.812,-0.947,-0.106,-0.155,-3.901,-2.092,0.13
13.863,-0.938,-0.091,-0.172,-2.939,-1.435,-0.366
13.917,-0.965,-0.127,-0.202,-4.702,0.176,-1.824
13.969,-0.951,-0.096,-0.167,-3.947,-3.626,1.359
14.021,-0.943,-0.112,-0.183,-2.573,-2.908,1.641
14.073,-0.948,-0.108,-0.172,-4.275,-3.443,0.282
14.125,-0.92,-0.097,-0.169,-5.198,-4.634,-2.443
14.178,-0.949,-0.118,-0.166,-1.985,-1.557,0.992
14.23,-0.935,-0.113,-0.173,-3.229,-0.603,-1.359
14.283,-0.943,-0.105,-0.141,-0.443,-0.763,0.664
14.336,-0.949,-0.103,-0.145,-0.855,-0.13,-0.031
14.388,-0.964,-0.089,-0.128,-3.443,-0.511,-3.832
14.441,-0.974,-0.106,-0.137,-1.901,-4.198,0.176
14.493,-1.003,-0.103,-0.138,-2.733,-3.244,2.099
14.545,-0.958,-0.077,-0.151,-2.29,-0.992,3.26
14.597,-0.99,-0.115,-0.161,-2.58,0.756,5.389
14.648,-0.978,-0.083,-0.14,-3.832,3.221,4.321
14.699,-0.995,-0.106,-0.137,-1.817,1.489,7.595
14.75,-0.938,-0.065,-0.148,-5.145,0.74,4.046
14.801,-0.927,-0.056,-0.128,-3.328,-3.947,4.42
14.853,-0.906,-0.062,-0.136,-2.519,-4.672,7.55
14.905,-0.939,-0.075,-0.135,-4.55,-5.015,4.748
14.957,-0.946,-0.075,-0.142,-2.58,-0.641,4.664
15.009,-0.921,-0.061,-0.141,-3.191,-2.786,5.16
