t,AcX,AcY,AcZ,GyX,GyY,GyZ
21.678,-0.933,-0.049,-0.172,-2.053,-0.977,1.733
21.73,-0.944,-0.052,-0.166,-2.763,-0.748,1.115
21.781,-0.938,-0.046,-0.167,-2.038,-1.031,1.168
21.833,-0.946,-0.038,-0.161,-2.168,-0.481,0.863
21.885,-0.96,-0.047,-0.159,-3.359,-0.427,-2.351
21.939,-0.943,-0.06,-0.178,-2.832,-1.298,0.504
21.991,-0.967,-0.051,-0.158,-3.137,-1.718,-0.84
22.043,-0.948,-0.044,-0.163,-2.496,-0.885,-0.595
22.096,-0.944,-0.041,-0.16,-3.122,-1.496,-0.435
22.15,-0.963,-0.059,-0.159,-2.763,-0.916,-0.046
22.203,-0.933,-0.03,-0.162,-2.634,-1.618,0.267
22.255,-0.97,-0.046,-0.153,-2.137,-0.26,-2.359
22.307,-0.92,-0.05,-0.171,-2.191,-0.802,1.198
22.36,-0.946,-0.041,-0.157,-1.481,0.504,-1.824
22.412,-0.962,-0.052,-0.163,-3.099,-0.809,-0.595
22.465,-0.928,-0.053,-0.16,-1.023,-0.695,1.13
22.516,-0.953,-0.057,-0.17,-2.603,-0.748,-1.344
22.57,-0.946,-0.043,-0.163,-4.489,-1.061,-2.244
22.623,-0.976,-0.055,-0.154,-0.756,-1.153,1.527
22.675,-0.954,-0.045,-0.162,-2.962,-0.962,-0.595
22.728,-0.94,-0.061,-0.177,-1.725,-1.786,1.321
22.779,-0.957,-0.051,-0.17,-3.809,-0.405,-1.565
22.833,-0.934,-0.041,-0.163,-2,-0.84,0.305
22.885,-0.947,-0.054,-0.18,-1.374,-0.618,2.443
22.937,-0.956,-0.046,-0.165,-2.969,-0.817,0.412
22.989,-0.948,-0.054,-0.181,-1.679,-0.527,0.58
23.041,-0.936,-0.043,-0.159,-3.084,-0.603,1.29
23.093,-0.947,-0.054,-0.186,-1.908,-0.817,-1.42
23.146,-0.942,-0.041,-0.167,-3.412,-1.023,-2.389
23.199,-0.959,-0.045,-0.169,-3.824,-1.107,-2.008
23.253,-0.951,-0.054,-0.176,-3.557,-0.687,-2.382
23.305,-0.947,-0.047,-0.161,-3.328,-2.183,-0.031
23.358,-0.943,-0.053,-0.176,-3.557,-1.313,-0.771
23.411,-0.945,-0.036,-0.16,-4.183,-0.74,-3.244
23.464,-0.971,-0.055,-0.16,-2.344,-1.336,0.588
23.516,-0.943,-0.058,-0.168,-2.702,-0.137,-1.328
23.569,-0.938,-0.065,-0.171,-1.84,-1.298,1.26
23.621,-0.943,-0.042,-0.155,-2.55,-0.664,-1.412
23.674,-0.95,-0.048,-0.167,-2.702,-1.985,0.084
23.727,-0.944,-0.044,-0.151,-3.076,-1.29,-0.366
23.779,-0.942,-0.061,-0.167,-3.076,-1.214,-1.893
23.832,-0.95,-0.062,-0.178,-2.626,-1.183,-3.137
23.885,-0.947,-0.046,-0.167,-1.511,-0.962,1.824
23.938,-0.956,-0.049,-0.171,-3.221,-0.847,-0.901
23.991,-0.935,-0.054,-0.18,-3.008,-0.794,-0.427
24.043,-0.934,-0.068,-0.181,-2.855,-0.321,-1.771
24.096,-0.956,-0.057,-0.164,-2.664,-1,-1.557
24.15,-0.954,-0.053,-0.166,-2.573,-1.137,-0.336
24.203,-0.949,-0.058,-0.163,-2.679,-0.985,0.031
24.255,-0.938,-0.051,-0.171,-2.244,-1.405,0.076
24.306,-0.951,-0.056,-0.165,-3.412,-0.672,-1.252
24.359,-0.944,-0.052,-0.152,-2.992,-0.214,-2.221
24.413,-0.956,-0.068,-0.167,-1.809,-1.176,0.26
24.465,-0.953,-0.053,-0.161,-3.763,-0.351,-3.603
24.518,-0.958,-0.057,-0.165,-2.634,-1.16,0.137
24.569,-0.942,-0.06,-0.166,-2.634,-0.336,-0.908
24.623,-0.944,-0.054,-0.179,-2.084,-1.435,1.405
24.675,-0.948,-0.055,-0.16,-3.397,-0.969,-0.969
24.728,-0.946,-0.054,-0.167,-2.588,-1.481,-1.931
24.78,-0.933,-0.051,-0.168,-3.542,-0.779,-2.13
24.834,-0.946,-0.068,-0.16,-2.878,-1.924,-0.824
24.887,-0.942,-0.055,-0.169,-1.664,-0.641,2.053
24.939,-0.944,-0.053,-0.17,-3.618,-0.634,-2.275
24.992,-0.96,-0.062,-0.165,-3.084,-0.389,-0.969
25.045,-0.941,-0.064,-0.171,-3.511,-0.496,-2.16
25.098,-0.951,-0.054,-0.156,-3.282,-1.779,-0.137
25.151,-0.955,-0.062,-0.171,-3.275,-1.534,0.092
25.203,-0.931,-0.065,-0.18,-2.947,-2.275,0.389
25.255,-0.945,-0.058,-0.168,-3.679,-1.13,-0.977
25.308,-0.939,-0.075,-0.17,-5.084,-0.634,-0.382
25.361,-0.968,-0.071,-0.164,-1.427,-1.023,1.084
25.413,-0.949,-0.052,-0.168,-1.901,-0.557,-0.008
25.466,-0.936,-0.052,-0.168,-2.466,-1.718,1.313
