t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
1.053,0.0547,0.0078,-0.0859,3,0.1722,0.9025,0.1577,-0.3620,2,0.2175,
1.063,0.0547,0.0078,-0.0859,3,0.1725,0.9025,0.1577,-0.3617,2,0.2117,
1.075,0.0547,0.0078,-0.0859,3,0.1727,0.9025,0.1576,-0.3617,2,0.2117,
1.085,0.0547,0.0078,-0.0859,3,0.1727,0.9025,0.1575,-0.3617,2,0.2117,
1.095,0.0547,0.0078,-0.0859,3,0.1727,0.9025,0.1573,-0.3618,2,0.2119,
1.106,0.0547,0.0078,-0.0859,3,0.1727,0.9025,0.1572,-0.3619,2,0.2119,
1.118,0.0547,-0.0977,-0.0547,3,0.1727,0.9025,0.1572,-0.3619,2,0.2119,
1.129,0.0547,-0.0977,-0.0547,3,0.1726,0.9025,0.1565,-0.3624,2,0.2087,
1.140,0.0547,-0.0977,-0.0547,3,0.1725,0.9024,0.1563,-0.3625,2,0.2078,
1.150,0.0547,-0.0977,-0.0547,3,0.1724,0.9025,0.1563,-0.3625,2,0.2080,
1.161,0.0547,-0.0977,-0.0547,3,0.1723,0.9025,0.1561,-0.3625,2,0.2056,
1.172,0.0547,-0.0977,-0.0547,3,0.1722,0.9025,0.1559,-0.3627,2,0.2031,
1.184,-0.0391,-0.0117,0.0586,3,0.1722,0.9025,0.1559,-0.3627,2,0.2031,
1.195,-0.0391,-0.0117,0.0586,3,0.1720,0.9025,0.1556,-0.3629,2,0.2034,
1.205,-0.0391,-0.0117,0.0586,3,0.1719,0.9025,0.1554,-0.3629,2,0.2014,
1.216,-0.0391,-0.0117,0.0586,3,0.1719,0.9025,0.1553,-0.3629,2,0.1995,
1.227,-0.0391,-0.0117,0.0586,3,0.1719,0.9026,0.1553,-0.3629,2,0.1995,
1.239,0.0469,-0.0234,0.0742,3,0.1719,0.9026,0.1553,-0.3629,2,0.1995,
1.250,0.0469,-0.0234,0.0742,3,0.1721,0.9026,0.1554,-0.3628,2,0.1997,
1.260,0.0469,-0.0234,0.0742,3,0.1721,0.9026,0.1554,-0.3627,2,0.1997,
1.270,0.0469,-0.0234,0.0742,3,0.1720,0.9026,0.1553,-0.3627,2,0.2000,
1.282,0.0469,-0.0234,0.0742,3,0.1719,0.9027,0.1553,-0.3626,2,0.2000,
1.293,-0.0313,0.0117,-0.0039,3,0.1719,0.9027,0.1553,-0.3626,2,0.2000,
1.304,-0.0313,0.0117,-0.0039,3,0.1715,0.9028,0.1548,-0.3627,2,0.2002,
1.314,-0.0313,0.0117,-0.0039,3,0.1713,0.9028,0.1546,-0.3629,2,0.2002,
1.326,-0.0313,0.0117,-0.0039,3,0.1713,0.9028,0.1545,-0.3629,2,0.2002,
1.336,-0.0313,0.0117,-0.0039,3,0.1711,0.9028,0.1542,-0.3630,2,0.1992,
1.347,-0.0313,0.0117,-0.0039,3,0.1711,0.9028,0.1539,-0.3631,2,0.1968,
1.359,0.1094,0.0586,-0.0117,3,0.1711,0.9028,0.1539,-0.3631,2,0.1968,
1.370,0.1094,0.0586,-0.0117,3,0.1711,0.9028,0.1537,-0.3632,2,0.1958,
1.381,0.1094,0.0586,-0.0117,3,0.1712,0.9028,0.1537,-0.3633,2,0.1960,
1.392,0.1094,0.0586,-0.0117,3,0.1712,0.9028,0.1537,-0.3633,2,0.1960,
1.403,0.0156,0.0078,-0.0430,3,0.1712,0.9028,0.1537,-0.3633,2,0.1960,
1.414,0.0156,0.0078,-0.0430,3,0.1712,0.9028,0.1538,-0.3632,2,0.1963,
1.425,0.0156,0.0078,-0.0430,3,0.1712,0.9028,0.1538,-0.3632,2,0.1963,
1.435,0.0156,0.0078,-0.0430,3,0.1713,0.9028,0.1539,-0.3632,2,0.1963,
1.445,0.0156,0.0078,-0.0430,3,0.1713,0.9028,0.1540,-0.3632,2,0.1963,
1.457,0.0156,0.0078,-0.0430,3,0.1714,0.9028,0.1542,-0.3631,2,0.1965,
1.468,-0.0156,-0.0430,-0.0820,3,0.1714,0.9028,0.1542,-0.3631,2,0.1965,
1.479,-0.0156,-0.0430,-0.0820,3,0.1714,0.9028,0.1543,-0.3630,2,0.1965,
1.489,-0.0156,-0.0430,-0.0820,3,0.1714,0.9028,0.1542,-0.3631,2,0.1968,
1.500,-0.0156,-0.0430,-0.0820,3,0.1714,0.9027,0.1541,-0.3632,2,0.1968,
1.511,-0.0156,-0.0430,-0.0820,3,0.1714,0.9027,0.1541,-0.3633,2,0.1968,
1.522,-0.0156,-0.0430,-0.0820,3,0.1713,0.9028,0.1537,-0.3633,2,0.1948,
1.533,-0.0078,0.0234,0.0977,3,0.1713,0.9028,0.1537,-0.3633,2,0.1948,
1.545,-0.0078,0.0234,0.0977,3,0.1708,0.9031,0.1531,-0.3632,2,0.1907,
1.555,-0.0078,0.0234,0.0977,3,0.1705,0.9032,0.1530,-0.3630,2,0.1890,
1.566,-0.0078,0.0234,0.0977,3,0.1703,0.9033,0.1529,-0.3629,2,0.1873,
1.579,0.1055,-0.0742,-0.0547,3,0.1703,0.9033,0.1529,-0.3629,2,0.1873,
1.589,0.1055,-0.0742,-0.0547,3,0.1702,0.9034,0.1530,-0.3627,2,0.1868,
1.599,0.1055,-0.0742,-0.0547,3,0.1702,0.9034,0.1531,-0.3627,2,0.1868,
1.610,0.1055,-0.0742,-0.0547,3,0.1702,0.9033,0.1531,-0.3627,2,0.1868,
1.620,0.1055,-0.0742,-0.0547,3,0.1702,0.9033,0.1529,-0.3628,2,0.1853,
1.633,0.0156,0.0469,0.0703,3,0.1702,0.9033,0.1529,-0.3628,2,0.1853,
1.643,0.0156,0.0469,0.0703,3,0.1703,0.9033,0.1528,-0.3629,2,0.1841,
1.653,0.0156,0.0469,0.0703,3,0.1702,0.9033,0.1528,-0.3629,2,0.1841,
1.665,0.0156,0.0469,0.0703,3,0.1702,0.9034,0.1528,-0.3629,2,0.1843,
1.675,0.0156,0.0469,0.0703,3,0.1700,0.9034,0.1525,-0.3629,2,0.1836,
1.686,0.0156,0.0469,0.0703,3,0.1700,0.9034,0.1523,-0.3629,2,0.1821,
1.696,0.1055,-0.0234,0.0820,3,0.1700,0.9034,0.1523,-0.3629,2,0.1821,
1.708,0.1055,-0.0234,0.0820,3,0.1700,0.9034,0.1517,-0.3631,2,0.1790,
1.719,0.1055,-0.0234,0.0820,3,0.1701,0.9034,0.1519,-0.3630,2,0.1790,
1.729,0.1055,-0.0234,0.0820,3,0.1702,0.9034,0.1522,-0.3629,2,0.1790,
1.739,0.1055,-0.0234,0.0820,3,0.1703,0.9034,0.1523,-0.3628,2,0.1777,
1.751,0.1055,-0.0234,0.0820,3,0.1705,0.9034,0.1525,-0.3626,2,0.1765,
1.761,-0.0039,0.0469,-0.0664,3,0.1705,0.9034,0.1525,-0.3626,2,0.1765,
1.772,-0.1289,0.0039,-0.2344,3,0.1705,0.9034,0.1525,-0.3626,2,0.1765,
1.783,-0.1289,0.0039,-0.2344,3,0.1709,0.9034,0.1528,-0.3624,2,0.1748,
1.794,-0.1289,0.0039,-0.2344,3,0.1710,0.9034,0.1526,-0.3624,2,0.1736,
1.805,-0.1289,0.0039,-0.2344,3,0.1710,0.9034,0.1525,-0.3623,2,0.1724,
1.815,-0.1289,0.0039,-0.2344,3,0.1711,0.9035,0.1523,-0.3622,2,0.1719,
1.827,0.1602,0.0781,0.1289,3,0.1711,0.9035,0.1523,-0.3622,2,0.1719,
1.838,0.1602,0.0781,0.1289,3,0.1712,0.9035,0.1519,-0.3624,2,0.1719,
1.849,0.1602,0.0781,0.1289,3,0.1712,0.9035,0.1517,-0.3624,2,0.1721,
1.859,0.1602,0.0781,0.1289,3,0.1711,0.9036,0.1517,-0.3624,2,0.1721,
1.870,0.1602,0.0781,0.1289,3,0.1711,0.9036,0.1519,-0.3622,2,0.1721,
1.881,0.1602,0.0781,0.1289,3,0.1711,0.9036,0.1519,-0.3621,2,0.1711,
1.893,-0.0313,-0.0430,-0.0078,3,0.1711,0.9036,0.1519,-0.3621,2,0.1711,
1.903,-0.0313,-0.0430,-0.0078,3,0.1711,0.9036,0.1522,-0.3620,2,0.1702,
1.913,-0.0313,-0.0430,-0.0078,3,0.1711,0.9036,0.1523,-0.3619,2,0.1694,
1.925,-0.0313,-0.0430,-0.0078,3,0.1711,0.9036,0.1523,-0.3619,2,0.1680,
1.935,0.0430,-0.0078,0.1016,3,0.1711,0.9036,0.1523,-0.3619,2,0.1680,
1.946,0.1328,0.0195,0.0820,3,0.1711,0.9036,0.1523,-0.3619,2,0.1680,
1.957,0.0078,-0.0664,0.0117,3,0.1711,0.9036,0.1523,-0.3619,2,0.1680,
1.968,0.0078,-0.0664,0.0117,3,0.1713,0.9036,0.1525,-0.3618,2,0.1675,
1.979,0.0078,-0.0664,0.0117,3,0.1712,0.9036,0.1526,-0.3617,2,0.1670,
1.989,0.0078,-0.0664,0.0117,3,0.1711,0.9037,0.1526,-0.3616,2,0.1658,
2.000,0.0078,-0.0664,0.0117,3,0.1710,0.9037,0.1528,-0.3614,2,0.1658,
2.012,-0.0156,0.0156,0.0430,3,0.1710,0.9037,0.1528,-0.3614,2,0.1658,
2.023,-0.0156,0.0156,0.0430,3,0.1708,0.9038,0.1536,-0.3611,2,0.1660,
2.033,-0.0156,0.0156,0.0430,3,0.1708,0.9038,0.1538,-0.3610,2,0.1660,
2.044,-0.0156,0.0156,0.0430,3,0.1707,0.9038,0.1540,-0.3609,2,0.1663,
2.055,-0.0781,0.0273,-0.0625,3,0.1707,0.9038,0.1540,-0.3609,2,0.1663,
