t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
1.009,0.1055,-0.1602,0.0781,3,0.8281,0.4233,0.0978,-0.3542,3,0.0745,
1.020,0.1055,-0.1602,0.0781,3,0.8276,0.4240,0.0981,-0.3544,3,0.0742,
1.031,0.1055,-0.1602,0.0781,3,0.8272,0.4247,0.0983,-0.3545,3,0.0737,
1.042,0.1055,-0.1602,0.0781,3,0.8268,0.4254,0.0986,-0.3546,3,0.0732,
1.054,0.0195,0.0391,-0.0352,3,0.8268,0.4254,0.0986,-0.3546,3,0.0732,
1.064,0.0195,0.0391,-0.0352,3,0.8257,0.4272,0.0994,-0.3547,3,0.0723,
1.075,0.0195,0.0391,-0.0352,3,0.8252,0.4281,0.0996,-0.3547,3,0.0720,
1.086,0.0195,0.0391,-0.0352,3,0.8246,0.4291,0.0998,-0.3547,3,0.0715,
1.097,0.0195,0.0391,-0.0352,3,0.8240,0.4305,0.1000,-0.3546,3,0.0713,
1.108,-0.0820,-0.0117,0.0508,3,0.8240,0.4305,0.1000,-0.3546,3,0.0713,
1.119,-0.0820,-0.0117,0.0508,3,0.8220,0.4344,0.1009,-0.3541,3,0.0703,
1.130,-0.0820,-0.0117,0.0508,3,0.8213,0.4359,0.1014,-0.3539,3,0.0701,
1.140,-0.0820,-0.0117,0.0508,3,0.8206,0.4372,0.1017,-0.3538,3,0.0698,
1.152,-0.0820,-0.0117,0.0508,3,0.8199,0.4385,0.1021,-0.3537,3,0.0696,
1.162,0.0313,0.0781,0.0195,3,0.8199,0.4385,0.1021,-0.3537,3,0.0696,
1.174,0.0430,0.1602,-0.1094,3,0.8199,0.4385,0.1021,-0.3537,3,0.0696,
1.184,0.0430,0.1602,-0.1094,3,0.8187,0.4402,0.1029,-0.3540,3,0.0684,
1.196,0.0430,0.1602,-0.1094,3,0.8185,0.4404,0.1031,-0.3542,3,0.0681,
1.206,0.0430,0.1602,-0.1094,3,0.8182,0.4407,0.1033,-0.3543,3,0.0679,
1.217,0.0430,0.1602,-0.1094,3,0.8179,0.4412,0.1037,-0.3544,3,0.0676,
