t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
1.001,-0.0352,0.0156,0.0820,3,0.1850,0.9063,0.1323,-0.3564,2,0.3408,
1.011,-0.0352,0.0156,0.0820,3,0.1851,0.9061,0.1324,-0.3565,2,0.3408,
1.021,-0.0352,0.0156,0.0820,3,0.1851,0.9061,0.1324,-0.3566,2,0.3408,
1.033,-0.0742,0.0977,0.1016,3,0.1851,0.9061,0.1324,-0.3566,2,0.3408,
1.044,-0.0742,0.0977,0.1016,3,0.1851,0.9061,0.1324,-0.3566,2,0.3408,
1.055,-0.0742,0.0977,0.1016,3,0.1846,0.9063,0.1318,-0.3568,2,0.3225,
1.065,-0.0742,0.0977,0.1016,3,0.1844,0.9063,0.1318,-0.3567,2,0.3186,
1.076,-0.0742,0.0977,0.1016,3,0.1841,0.9064,0.1316,-0.3566,2,0.3113,
1.087,-0.0742,0.0977,0.1016,3,0.1839,0.9066,0.1316,-0.3564,2,0.3079,
1.097,-0.0742,0.0977,0.1016,3,0.1837,0.9066,0.1318,-0.3563,2,0.3079,
1.110,0.1094,-0.0430,-0.0078,3,0.1837,0.9066,0.1318,-0.3563,2,0.3079,
1.121,0.1094,-0.0430,-0.0078,3,0.1837,0.9067,0.1320,-0.3561,2,0.3079,
1.131,0.1094,-0.0430,-0.0078,3,0.1836,0.9067,0.1320,-0.3560,2,0.3079,
1.141,0.1094,-0.0430,-0.0078,3,0.1836,0.9068,0.1319,-0.3559,2,0.3081,
1.153,0.1094,-0.0430,-0.0078,3,0.1834,0.9069,0.1314,-0.3558,2,0.3015,
1.164,-0.1211,0.0703,0.0195,3,0.1834,0.9069,0.1314,-0.3558,2,0.3015,
1.175,-0.1211,0.0703,0.0195,3,0.1832,0.9071,0.1310,-0.3556,2,0.2954,
1.185,-0.1211,0.0703,0.0195,3,0.1830,0.9072,0.1309,-0.3556,2,0.2922,
1.196,-0.1211,0.0703,0.0195,3,0.1828,0.9072,0.1305,-0.3557,2,0.2861,
1.206,-0.1211,0.0703,0.0195,3,0.1826,0.9072,0.1301,-0.3559,2,0.2805,
1.217,-0.1211,0.0703,0.0195,3,0.1824,0.9073,0.1298,-0.3560,2,0.2754,
1.228,0.0273,-0.0156,0.0703,3,0.1824,0.9073,0.1298,-0.3560,2,0.2754,
1.240,0.0273,-0.0156,0.0703,3,0.1826,0.9070,0.1296,-0.3565,2,0.2732,
1.251,0.0273,-0.0156,0.0703,3,0.1827,0.9070,0.1296,-0.3566,2,0.2732,
1.261,0.0273,-0.0156,0.0703,3,0.1830,0.9069,0.1295,-0.3568,2,0.2732,
1.272,0.0273,-0.0156,0.0703,3,0.1832,0.9069,0.1293,-0.3569,2,0.2732,
1.284,0.0000,0.0352,-0.1094,3,0.1832,0.9069,0.1293,-0.3569,2,0.2732,
1.295,0.0000,0.0352,-0.1094,3,0.1833,0.9068,0.1291,-0.3570,2,0.2734,
1.306,0.0000,0.0352,-0.1094,3,0.1832,0.9069,0.1291,-0.3570,2,0.2734,
1.317,0.0000,0.0352,-0.1094,3,0.1830,0.9069,0.1292,-0.3568,2,0.2734,
1.329,0.0781,0.0352,0.0391,3,0.1830,0.9069,0.1292,-0.3568,2,0.2734,
1.340,0.0781,0.0352,0.0391,3,0.1827,0.9070,0.1292,-0.3568,2,0.2737,
1.350,0.0781,0.0352,0.0391,3,0.1827,0.9069,0.1292,-0.3569,2,0.2737,
1.360,0.0781,0.0352,0.0391,3,0.1829,0.9069,0.1291,-0.3571,2,0.2737,
1.371,0.0781,0.0352,0.0391,3,0.1829,0.9068,0.1290,-0.3572,2,0.2737,
1.381,0.0781,0.0352,0.0391,3,0.1830,0.9068,0.1289,-0.3573,2,0.2737,
1.392,0.0781,0.0352,0.0391,3,0.1830,0.9068,0.1288,-0.3573,2,0.2739,
1.402,-0.0547,-0.0313,-0.1914,3,0.1830,0.9068,0.1288,-0.3573,2,0.2739,
1.414,-0.0547,-0.0313,-0.1914,3,0.1830,0.9068,0.1284,-0.3574,2,0.2739,
1.425,-0.0547,-0.0313,-0.1914,3,0.1829,0.9068,0.1282,-0.3575,2,0.2739,
1.435,-0.0547,-0.0313,-0.1914,3,0.1829,0.9068,0.1281,-0.3575,2,0.2742,
1.446,-0.0547,-0.0313,-0.1914,3,0.1830,0.9068,0.1279,-0.3576,2,0.2742,
1.457,-0.0547,-0.0313,-0.1914,3,0.1830,0.9068,0.1276,-0.3577,2,0.2742,
1.469,0.0781,-0.0195,-0.0313,3,0.1830,0.9068,0.1276,-0.3577,2,0.2742,
1.480,0.0781,-0.0195,-0.0313,3,0.1829,0.9068,0.1274,-0.3577,2,0.2742,
1.490,0.0781,-0.0195,-0.0313,3,0.1827,0.9069,0.1271,-0.3577,2,0.2695,
1.501,0.0781,-0.0195,-0.0313,3,0.1826,0.9070,0.1268,-0.3576,2,0.2649,
1.512,0.0781,-0.0195,-0.0313,3,0.1826,0.9070,0.1268,-0.3575,2,0.2649,
1.523,-0.0039,-0.0195,-0.0117,3,0.1826,0.9070,0.1268,-0.3575,2,0.2649,
1.534,-0.0039,-0.0195,-0.0117,3,0.1830,0.9069,0.1265,-0.3578,2,0.2649,
1.545,-0.0039,-0.0195,-0.0117,3,0.1830,0.9069,0.1264,-0.3578,2,0.2651,
1.556,-0.0039,-0.0195,-0.0117,3,0.1831,0.9069,0.1264,-0.3578,2,0.2651,
1.566,-0.0039,-0.0195,-0.0117,3,0.1830,0.9069,0.1263,-0.3578,2,0.2629,
1.579,-0.0547,-0.0078,-0.0586,3,0.1830,0.9069,0.1263,-0.3578,2,0.2629,
1.589,-0.0547,-0.0078,-0.0586,3,0.1827,0.9073,0.1261,-0.3572,2,0.2551,
1.600,-0.0547,-0.0078,-0.0586,3,0.1827,0.9073,0.1261,-0.3572,2,0.2551,
1.610,-0.0547,-0.0078,-0.0586,3,0.1828,0.9073,0.1261,-0.3571,2,0.2551,
1.620,-0.0547,-0.0078,-0.0586,3,0.1829,0.9073,0.1261,-0.3571,2,0.2551,
1.632,-0.0547,-0.0078,-0.0586,3,0.1829,0.9073,0.1260,-0.3571,2,0.2554,
1.644,0.1289,0.0234,0.1016,3,0.1829,0.9073,0.1260,-0.3571,2,0.2554,
1.654,0.1289,0.0234,0.1016,3,0.1831,0.9072,0.1259,-0.3574,2,0.2554,
1.666,0.1289,0.0234,0.1016,3,0.1831,0.9072,0.1259,-0.3574,2,0.2554,
1.676,0.1289,0.0234,0.1016,3,0.1831,0.9072,0.1260,-0.3573,2,0.2556,
1.686,0.1289,0.0234,0.1016,3,0.1831,0.9072,0.1260,-0.3573,2,0.2556,
1.698,-0.1367,0.0156,-0.0391,3,0.1831,0.9072,0.1260,-0.3573,2,0.2556,
1.709,-0.1367,0.0156,-0.0391,3,0.1828,0.9073,0.1262,-0.3571,2,0.2556,
1.720,-0.1367,0.0156,-0.0391,3,0.1827,0.9073,0.1263,-0.3569,2,0.2559,
1.730,-0.1367,0.0156,-0.0391,3,0.1826,0.9073,0.1263,-0.3569,2,0.2559,
1.740,-0.1367,0.0156,-0.0391,3,0.1826,0.9073,0.1263,-0.3570,2,0.2559,
1.752,-0.1367,0.0156,-0.0391,3,0.1827,0.9072,0.1263,-0.3572,2,0.2559,
1.763,0.0156,-0.0391,-0.0469,3,0.1827,0.9072,0.1263,-0.3572,2,0.2559,
1.773,0.0156,-0.0391,-0.0469,3,0.1830,0.9070,0.1263,-0.3577,2,0.2561,
1.784,0.0156,-0.0391,-0.0469,3,0.1830,0.9070,0.1263,-0.3577,2,0.2539,
1.795,0.0156,-0.0391,-0.0469,3,0.1829,0.9069,0.1260,-0.3580,2,0.2495,
1.806,0.0156,-0.0391,-0.0469,3,0.1830,0.9068,0.1257,-0.3584,2,0.2476,
1.817,0.0156,-0.0391,-0.0469,3,0.1830,0.9068,0.1257,-0.3584,2,0.2476,
1.828,-0.0430,-0.0078,0.0273,3,0.1830,0.9068,0.1257,-0.3584,2,0.2476,
1.840,-0.0430,-0.0078,0.0273,3,0.1833,0.9069,0.1257,-0.3582,2,0.2478,
1.850,-0.0430,-0.0078,0.0273,3,0.1833,0.9068,0.1256,-0.3582,2,0.2478,
1.861,-0.0430,-0.0078,0.0273,3,0.1834,0.9067,0.1254,-0.3584,2,0.2478,
1.873,-0.0273,0.1094,0.0938,3,0.1834,0.9067,0.1254,-0.3584,2,0.2478,
1.884,-0.0273,0.1094,0.0938,3,0.1833,0.9067,0.1247,-0.3588,2,0.2378,
1.895,-0.0273,0.1094,0.0938,3,0.1832,0.9067,0.1245,-0.3589,2,0.2346,
1.905,-0.0273,0.1094,0.0938,3,0.1832,0.9068,0.1245,-0.3588,2,0.2317,
1.916,-0.0273,0.1094,0.0938,3,0.1831,0.9068,0.1243,-0.3587,2,0.2288,
1.927,-0.0156,0.0117,0.0000,3,0.1831,0.9068,0.1243,-0.3587,2,0.2288,
1.938,-0.0156,0.0117,0.0000,3,0.1835,0.9067,0.1241,-0.3589,2,0.2275,
1.949,-0.0156,0.0117,0.0000,3,0.1837,0.9066,0.1241,-0.3591,2,0.2275,
1.959,-0.0156,0.0117,0.0000,3,0.1840,0.9065,0.1240,-0.3592,2,0.2278,
1.970,-0.0156,0.0117,0.0000,3,0.1840,0.9065,0.1240,-0.3593,2,0.2278,
1.981,-0.0156,0.0117,0.0000,3,0.1841,0.9065,0.1240,-0.3592,2,0.2278,
1.991,-0.0156,0.0117,0.0000,3,0.1840,0.9066,0.1240,-0.3591,2,0.2278,
2.002,0.0391,0.0547,0.0898,3,0.1840,0.9066,0.1240,-0.3591,2,0.2278,
2.014,0.0391,0.0547,0.0898,3,0.1840,0.9066,0.1240,-0.3591,2,0.2280,
2.024,0.0391,0.0547,0.0898,3,0.1841,0.9065,0.1240,-0.3591,2,0.2280,
2.034,0.0391,0.0547,0.0898,3,0.1843,0.9065,0.1241,-0.3590,2,0.2280,
2.044,0.0391,0.0547,0.0898,3,0.1843,0.9065,0.1241,-0.3589,2,0.2268,
2.056,0.0391,0.0547,0.0898,3,0.1842,0.9066,0.1241,-0.3589,2,0.2241,
2.067,0.0703,-0.0273,0.0859,3,0.1842,0.9066,0.1241,-0.3589,2,0.2241,
2.078,0.0703,-0.0273,0.0859,3,0.1842,0.9066,0.1243,-0.3588,2,0.2231,
2.089,0.0703,-0.0273,0.0859,3,0.1842,0.9066,0.1244,-0.3587,2,0.2231,
2.100,0.0703,-0.0273,0.0859,3,0.1843,0.9066,0.1245,-0.3586,2,0.2231,
2.111,0.0703,-0.0273,0.0859,3,0.1843,0.9066,0.1246,-0.3586,2,0.2231,
2.122,-0.1211,-0.0313,-0.1133,3,0.1843,0.9066,0.1246,-0.3586,2,0.2231,
2.134,-0.1211,-0.0313,-0.1133,3,0.1843,0.9066,0.1248,-0.3586,2,0.2234,
2.144,-0.1211,-0.0313,-0.1133,3,0.1843,0.9065,0.1249,-0.3587,2,0.2234,
2.155,-0.1211,-0.0313,-0.1133,3,0.1842,0.9066,0.1249,-0.3587,2,0.2236,
2.165,0.0547,-0.0586,-0.0078,3,0.1842,0.9066,0.1249,-0.3587,2,0.2236,
2.177,0.1133,-0.0430,-0.0195,3,0.1842,0.9066,0.1249,-0.3587,2,0.2236,
2.188,0.1172,-0.0664,0.0781,3,0.1842,0.9066,0.1249,-0.3587,2,0.2236,
2.199,0.1172,-0.0664,0.0781,3,0.1837,0.9068,0.1255,-0.3581,2,0.2239,
2.209,0.1172,-0.0664,0.0781,3,0.1838,0.9067,0.1255,-0.3582,2,0.2227,
2.220,0.1172,-0.0664,0.0781,3,0.1838,0.9067,0.1254,-0.3583,2,0.2200,
2.231,0.1172,-0.0664,0.0781,3,0.1838,0.9067,0.1255,-0.3583,2,0.2202,
2.242,-0.1367,-0.0078,-0.1055,3,0.1838,0.9067,0.1255,-0.3583,2,0.2202,
2.253,-0.1367,-0.0078,-0.1055,3,0.1838,0.9067,0.1258,-0.3581,2,0.2202,
2.265,-0.1367,-0.0078,-0.1055,3,0.1837,0.9068,0.1259,-0.3580,2,0.2205,
2.276,-0.1367,-0.0078,-0.1055,3,0.1835,0.9069,0.1259,-0.3579,2,0.2178,
2.287,0.0781,0.0234,0.0898,3,0.1835,0.9069,0.1259,-0.3579,2,0.2178,
2.298,0.0781,0.0234,0.0898,3,0.1834,0.9069,0.1261,-0.3578,2,0.2168,
2.309,0.0781,0.0234,0.0898,3,0.1835,0.9069,0.1262,-0.3578,2,0.2168,
2.319,0.0781,0.0234,0.0898,3,0.1835,0.9069,0.1262,-0.3578,2,0.2168,
2.330,0.0781,0.0234,0.0898,3,0.1835,0.9068,0.1262,-0.3578,2,0.2170,
2.340,0.0781,0.0234,0.0898,3,0.1835,0.9069,0.1262,-0.3578,2,0.2170,
2.353,-0.0078,0.0859,-0.0195,3,0.1835,0.9069,0.1262,-0.3578,2,0.2170,
2.363,-0.0078,0.0859,-0.0195,3,0.1835,0.9069,0.1260,-0.3578,2,0.2158,
2.374,-0.0078,0.0859,-0.0195,3,0.1835,0.9069,0.1259,-0.3577,2,0.2134,
2.384,-0.0078,0.0859,-0.0195,3,0.1834,0.9070,0.1259,-0.3576,2,0.2122,
2.396,-0.0078,0.0859,-0.0195,3,0.1834,0.9070,0.1259,-0.3575,2,0.2122,
2.407,0.0000,0.0039,-0.0586,3,0.1834,0.9070,0.1259,-0.3575,2,0.2122,
2.418,0.0000,0.0039,-0.0586,3,0.1833,0.9071,0.1257,-0.3574,2,0.2124,
2.428,0.0000,0.0039,-0.0586,3,0.1833,0.9071,0.1257,-0.3574,2,0.2124,
2.439,0.0000,0.0039,-0.0586,3,0.1832,0.9072,0.1256,-0.3574,2,0.2124,
2.450,0.0000,0.0039,-0.0586,3,0.1832,0.9072,0.1255,-0.3574,2,0.2124,
2.462,-0.0820,-0.0820,-0.0508,3,0.1832,0.9072,0.1255,-0.3574,2,0.2124,
