19.995,0.039,0.035,-0.985,-1.168,1.397,0.840,
20.001,0.040,0.037,-0.995,-1.252,1.534,0.756,
20.006,0.034,0.036,-1.005,-0.962,1.130,0.863,
20.012,0.034,0.026,-0.994,-1.000,1.046,0.672,
20.018,0.037,0.031,-0.996,-1.000,1.870,0.527,
20.023,0.036,0.033,-1.008,-0.977,1.649,0.771,
20.028,0.038,0.034,-0.996,-1.092,0.809,0.885,
20.034,0.029,0.029,-0.990,-1.046,1.008,0.924,
20.039,0.038,0.033,-0.977,-1.023,1.725,0.679,
20.044,0.037,0.031,-0.997,-0.847,1.672,0.809,
20.050,0.038,0.029,-1.010,-0.443,1.008,1.084,
20.056,0.036,0.027,-1.015,-0.183,1.053,1.099,
20.061,0.030,0.029,-0.991,-0.824,1.489,0.908,
20.067,0.033,0.033,-0.984,-1.870,1.626,0.542,
20.072,0.031,0.026,-0.990,-1.412,1.244,0.649,
20.077,0.036,0.031,-0.992,-0.809,1.214,0.855,
20.083,0.030,0.026,-0.986,-0.504,1.305,0.954,
20.088,0.035,0.036,-1.002,-0.878,1.588,0.664,
20.093,0.038,0.030,-0.995,-1.137,1.282,0.664,
20.100,0.038,0.029,-0.986,-1.176,1.389,0.794,
20.105,0.035,0.028,-0.999,-0.809,1.191,0.840,
20.110,0.036,0.029,-0.991,-0.450,1.069,0.908,
20.116,0.029,0.031,-1.002,-0.550,1.443,0.924,
20.121,0.035,0.032,-1.000,-0.962,1.634,0.634,
20.126,0.043,0.032,-0.997,-1.015,1.237,0.916,
20.132,0.034,0.028,-0.996,-0.939,0.962,0.855,
20.137,0.033,0.027,-1.000,-1.115,1.198,0.710,
20.143,0.038,0.033,-0.990,-1.198,1.542,0.855,
20.149,0.032,0.033,-0.990,-1.229,1.664,0.695,
20.154,0.034,0.030,-0.989,-1.244,1.359,0.748,
20.159,0.037,0.028,-0.993,-1.183,1.084,0.847,
20.165,0.034,0.029,-0.999,-1.008,1.206,0.725,
20.170,0.030,0.034,-0.996,-0.977,1.473,0.924,
20.175,0.037,0.031,-0.991,-1.053,1.588,0.847,
20.182,0.029,0.029,-0.987,-1.000,1.573,0.832,
20.187,0.035,0.030,-0.988,-0.969,1.359,0.756,
