t,AcX,AcY,AcZ,GyX,GyY,GyZ
21.59,-0.582,-0.104,-0.92,-2.733,-0.817,-0.45
21.642,-0.584,-0.105,-0.915,-2.802,-0.756,-0.252
21.695,-0.583,-0.102,-0.914,-2.748,-0.817,-0.336
21.748,-0.589,-0.107,-0.916,-2.855,-1.008,-0.519
21.802,-0.583,-0.1,-0.914,-2.924,-0.931,-0.435
21.855,-0.585,-0.107,-0.914,-2.634,-1.115,-0.267
21.907,-0.583,-0.106,-0.914,-2.779,-0.672,-0.313
21.96,-0.593,-0.102,-0.914,-2.924,-0.74,-0.366
22.013,-0.586,-0.113,-0.905,-2.771,-0.771,-0.206
22.067,-0.592,-0.105,-0.914,-2.947,-0.695,-0.069
22.119,-0.587,-0.104,-0.904,-2.679,-0.962,-0.389
22.172,-0.59,-0.115,-0.907,-2.84,-0.71,-0.366
22.225,-0.586,-0.104,-0.912,-2.824,-0.962,-0.244
22.279,-0.583,-0.104,-0.92,-2.786,-0.87,-0.489
22.332,-0.588,-0.104,-0.919,-2.618,-0.847,-0.351
22.384,-0.587,-0.104,-0.918,-2.649,-0.763,-0.221
22.437,-0.587,-0.101,-0.916,-2.74,-0.924,-0.366
22.491,-0.632,-0.127,-0.911,4.237,31.504,77.634
22.543,-0.584,-0.154,-0.914,22.641,-17.168,-8.542
22.597,-0.829,-0.109,-0.876,12.695,-27.359,-34.641
22.651,-0.891,-0.081,-0.707,-81.198,-104.023,12.168
22.708,-1.034,-0.04,-0.941,34.733,-205.443,-55.702
22.764,-1.364,0.331,-1.88,-114.305,-250.137,49.55
22.82,-0.902,-0.146,-1.235,-147.183,-250.137,205.595
22.879,-0.283,-0.772,0.463,-191.031,-250.137,167.313
22.936,1.307,0.017,1.205,94.58,-88.611,-82.695
22.988,-0.223,-0.155,-0.125,116.458,231.29,-151.855
23.045,-1.037,-0.006,-0.732,60.611,250.13,-108.198
23.101,-1.341,0.176,-0.632,82.534,250.13,-108.053
23.156,-1.082,0.063,-0.745,7.16,182.695,-18.382
23.21,-0.92,-0.022,-0.714,26.603,124.008,-47.649
23.265,-0.939,0.016,-0.817,-14.038,80.092,-14.221
23.319,-0.706,-0.152,-0.846,-19.954,43,-9.618
23.372,-0.699,-0.072,-0.836,12.038,41.115,-17.954
23.427,-0.665,-0.103,-0.916,-21.336,19.992,-6.855
23.481,-0.62,-0.127,-0.884,-5.313,20.023,-6.229
23.534,-1,0.156,-1.606,-9.069,56.382,20.847
23.586,-0.582,-0.08,-0.953,4.038,22.649,-2.55
23.638,-0.625,-0.09,-0.916,-2.809,-1.725,-4.023
23.691,-0.595,-0.1,-0.913,-6.115,3.405,-7.985
23.743,-0.549,-0.055,-0.959,23.985,5.74,39.847
23.795,-0.564,-0.1,-0.967,-4.183,-2.611,11.969
23.847,-0.56,-0.077,-0.93,-2.443,3.947,5.008
23.899,-0.575,-0.064,-0.93,-3.244,-2.672,-4.092
23.952,-0.573,-0.07,-0.931,-2.412,0.466,3.985
24.003,-0.562,-0.071,-0.932,-2.779,-0.992,-0.229
24.056,-0.569,-0.065,-0.929,-2.542,-0.794,1.008
24.108,-0.568,-0.067,-0.937,-2.405,-0.374,1.649
24.16,-0.565,-0.066,-0.936,-2.664,-0.863,0.076
24.212,-0.564,-0.067,-0.934,-2.45,-0.763,1.168
24.264,-0.561,-0.061,-0.931,-2.58,-0.794,0.29
24.315,-0.57,-0.058,-0.946,-2.641,-0.725,0.412
24.368,-0.568,-0.067,-0.937,-2.527,-0.557,0.618
24.42,-0.564,-0.068,-0.936,-2.748,-1,0.282
24.472,-0.565,-0.065,-0.937,-2.58,-0.901,0.198
24.524,-0.568,-0.067,-0.942,-2.641,-0.763,0.336
24.576,-0.567,-0.064,-0.934,-2.588,-0.847,0.206
24.628,-0.568,-0.066,-0.931,-2.71,-0.832,0.023
24.68,-0.57,-0.065,-0.938,-2.618,-0.794,0.137
24.732,-0.565,-0.067,-0.927,-2.634,-0.847,0.366
24.784,-0.566,-0.06,-0.929,-2.702,-0.779,0.008
24.836,-0.565,-0.059,-0.941,-2.649,-0.878,0.092
24.888,-0.571,-0.062,-0.93,-2.656,-0.702,0.198
24.94,-0.567,-0.058,-0.928,-2.71,-0.847,0.069
24.992,-0.563,-0.065,-0.931,-2.573,-0.84,-0.069
25.045,-0.567,-0.061,-0.934,-2.71,-0.916,0.015
25.097,-0.566,-0.065,-0.935,-2.649,-0.809,0.023
25.149,-0.566,-0.056,-0.937,-2.947,-0.885,-0.008
25.202,-0.564,-0.062,-0.936,-2.557,-1.046,0.023
25.254,-0.563,-0.058,-0.934,-2.656,-0.832,-0.038
25.307,-0.572,-0.054,-0.929,-3.672,-3.061,-3.824
25.36,-0.572,-0.056,-0.939,-2.733,-0.137,0.939
25.412,-0.563,-0.064,-0.928,-2.611,-0.458,0.069
25.464,-0.57,-0.06,-0.934,-2.802,-0.832,-1.16
25.518,-0.571,-0.061,-0.938,-2.733,-0.534,0.206
25.569,-0.567,-0.062,-0.93,-2.855,-0.939,-0.206
25.622,-0.561,-0.057,-0.94,-2.809,-1.076,-0.466
25.675,-0.568,-0.058,-0.937,-2.702,-0.649,0.076
25.728,0.158,-0.725,-1.286,23.344,75.267,83.855
25.779,-0.617,0.066,-0.925,17.504,16.649,21.573
25.831,-0.684,-0.15,-0.813,-22.031,-34.908,-5.366
25.886,-1.175,0.243,-0.876,5.427,-129.557,10.13
25.939,-1.181,0.224,-1.469,-38.534,-250.137,74.695
25.995,-1.346,0.539,-1.648,-152.962,-250.137,24.847
