t,AcX,AcY,AcZ,GyX,GyY,GyZ
4.828,-0.568,-0.071,-0.939,-2.885,-1.206,-1.275
4.879,-0.568,-0.063,-0.933,-2.771,-0.786,-0.16
4.931,-0.566,-0.072,-0.934,-3.015,-0.832,-0.74
4.983,-0.573,-0.064,-0.937,-2.931,-0.824,0.198
5.035,-0.565,-0.064,-0.931,-2.779,-0.992,-1.214
5.087,-0.571,-0.071,-0.93,-2.74,-0.71,0.069
5.137,-0.566,-0.071,-0.937,-2.786,-0.977,-0.405
5.189,-0.567,-0.065,-0.926,-2.656,-1.046,-0.183
5.241,-0.564,-0.063,-0.934,-2.771,-1.061,-0.718
5.294,-0.571,-0.065,-0.929,-2.794,-0.687,0.183
5.344,-0.572,-0.062,-0.93,-2.763,-1.038,-0.565
5.396,-0.574,-0.071,-0.928,-2.824,-0.985,-0.45
5.448,-0.57,-0.069,-0.939,-2.847,-0.908,-0.412
5.5,-0.57,-0.069,-0.928,-2.695,-0.824,0.084
5.552,-0.572,-0.066,-0.93,-2.58,-1.084,-0.985
5.603,-0.566,-0.062,-0.933,-2.847,-0.809,-0.076
5.655,-0.57,-0.062,-0.935,-2.771,-1.069,-0.275
5.707,-0.567,-0.065,-0.931,-2.901,-0.916,-0.023
5.76,-0.566,-0.07,-0.938,-2.725,-1.069,-0.695
5.811,-0.57,-0.067,-0.942,-2.603,-0.985,-0.275
5.863,-0.568,-0.072,-0.932,-2.725,-0.908,-0.847
5.915,-0.578,-0.084,-0.945,-2.542,-1.084,0.038
5.966,-0.578,-0.077,-0.94,-2.718,-0.756,-0.756
6.019,-0.564,-0.066,-0.93,-2.725,-0.924,0.26
6.069,-0.569,-0.066,-0.925,-2.824,-1.229,-1.252
6.121,-0.571,-0.064,-0.936,-2.87,-0.855,-0.153
6.173,-0.565,-0.074,-0.936,-2.916,-0.847,-0.626
6.225,-0.568,-0.07,-0.938,-2.695,-0.847,-0.206
6.277,-0.57,-0.064,-0.919,-2.824,-0.847,-0.779
6.329,-0.573,-0.075,-0.927,-2.664,-0.84,-0.473
6.381,-0.563,-0.063,-0.931,-2.763,-0.847,-0.328
6.433,-0.565,-0.062,-0.929,-2.687,-0.779,-0.053
6.486,-0.57,-0.062,-0.938,-2.969,-1.092,-0.893
6.537,-0.573,-0.064,-0.923,-2.855,-0.916,-0.588
6.589,-0.57,-0.074,-0.935,-2.733,-0.786,-0.786
6.641,-0.575,-0.07,-0.935,-2.847,-0.779,-0.321
6.693,-0.566,-0.057,-0.923,-2.916,-0.916,-0.511
6.746,-0.564,-0.066,-0.93,-2.855,-1.015,-0.947
6.797,-0.568,-0.07,-0.938,-2.84,-0.832,0.084
6.848,-0.571,-0.067,-0.943,-2.74,-0.771,-0.489
6.9,-0.567,-0.068,-0.924,-2.771,-0.985,-0.565
6.952,-0.57,-0.065,-0.934,-2.847,-0.901,-0.115
7.004,-0.571,-0.065,-0.94,-2.679,-0.634,0.351
7.055,-0.572,-0.067,-0.935,-2.534,-0.954,-1.115
7.107,-0.57,-0.063,-0.932,-2.519,-0.809,-0.412
7.159,-0.572,-0.069,-0.939,-2.924,-0.985,-0.595
7.212,-0.569,-0.071,-0.936,-2.885,-0.885,-0.122
7.263,-0.568,-0.064,-0.932,-2.58,-0.901,-0.519
7.315,-0.568,-0.071,-0.929,-2.832,-1.031,-0.527
7.367,-0.563,-0.066,-0.931,-2.634,-0.511,0.443
7.418,-0.568,-0.07,-0.931,-2.672,-1.321,-1.092
7.47,-0.57,-0.065,-0.935,-2.588,-0.908,-0.382
7.522,-0.564,-0.064,-0.938,-2.87,-0.878,-0.359
7.574,-0.573,-0.064,-0.942,-2.809,-0.489,0.107
7.625,-0.566,-0.063,-0.926,-2.87,-1.176,-0.931
7.677,-0.571,-0.066,-0.927,-2.939,-0.794,-0.611
7.729,-0.566,-0.072,-0.931,-2.832,-0.695,-0.031
7.781,-0.567,-0.065,-0.931,-2.832,-0.931,-0.389
7.833,-0.571,-0.068,-0.928,-2.756,-0.977,-0.58
7.885,-0.567,-0.063,-0.936,-2.802,-0.962,-0.489
7.937,-0.566,-0.066,-0.935,-2.71,-0.733,-0.336
7.989,-0.572,-0.064,-0.938,-2.901,-1.038,-0.351
8.041,-0.569,-0.063,-0.933,-2.779,-0.947,-0.809
8.093,-0.57,-0.069,-0.938,-2.908,-0.527,-0.183
8.145,-0.565,-0.068,-0.924,-2.794,-0.893,-0.26
8.197,-0.569,-0.063,-0.932,-2.618,-0.962,-0.481
8.249,-0.565,-0.062,-0.921,-2.893,-0.947,-0.733
8.301,-0.564,-0.07,-0.932,-2.908,-0.931,-0.695
8.353,-0.568,-0.065,-0.943,-2.763,-0.847,0.015
8.403,-0.572,-0.069,-0.93,-2.634,-0.977,-0.443
8.456,-0.57,-0.064,-0.938,-2.748,-0.718,-0.595
8.508,-0.568,-0.064,-0.933,-2.931,-1.084,-0.336
8.56,-0.569,-0.061,-0.927,-2.786,-0.87,-0.031
8.612,-0.574,-0.066,-0.937,-2.771,-1.038,-0.878
8.664,-0.566,-0.071,-0.93,-2.641,-0.733,-0.015
8.716,-0.566,-0.065,-0.933,-2.794,-1.153,-0.649
8.768,-0.572,-0.066,-0.941,-2.893,-0.832,-0.214
8.82,-0.565,-0.067,-0.931,-2.87,-1.061,-0.802
8.871,-0.566,-0.074,-0.928,-2.84,-0.924,-0.573
8.924,-0.57,-0.068,-0.933,-2.771,-1.015,-0.443
8.976,-0.573,-0.069,-0.923,-2.901,-0.794,-0.023
9.028,-0.566,-0.073,-0.93,-2.763,-1.092,-0.863
9.08,-0.565,-0.063,-0.933,-2.763,-0.817,-0.305
9.132,-0.569,-0.063,-0.937,-2.817,-0.908,-0.214
9.184,-0.571,-0.064,-0.93,-2.58,-0.977,-0.473
9.236,-0.571,-0.066,-0.941,-2.924,-1.023,-0.687
9.288,-0.567,-0.067,-0.927,-2.664,-0.702,-0.031
9.339,-0.575,-0.063,-0.933,-2.786,-0.832,-0.321
9.392,-0.576,-0.074,-0.926,-2.756,-1.015,-1.038
9.444,-0.565,-0.072,-0.926,-2.969,-0.893,-0.198
9.496,-0.568,-0.062,-0.93,-2.847,-0.939,-0.382
9.548,-0.574,-0.066,-0.935,-2.748,-0.87,-0.275
9.6,-0.568,-0.067,-0.931,-2.802,-0.824,-0.557
9.652,-0.567,-0.066,-0.928,-2.718,-1.145,-0.687
9.704,-0.565,-0.064,-0.938,-2.695,-0.618,0.42
9.755,-0.565,-0.068,-0.937,-2.603,-0.893,-0.489
9.807,-0.563,-0.066,-0.937,-2.84,-0.893,-0.901
9.859,-0.563,-0.072,-0.936,-2.664,-0.817,0.069
9.91,-0.577,-0.062,-0.928,-2.656,-0.924,-0.389
9.962,-0.569,-0.071,-0.934,-2.771,-0.992,-0.573
10.014,-0.572,-0.065,-0.936,-2.885,-0.847,-0.924
10.066,-0.565,-0.063,-0.928,-2.702,-0.634,0.519
10.119,-0.57,-0.066,-0.941,-2.916,-0.84,-0.313
10.172,-0.568,-0.07,-0.926,-2.672,-1.015,-1.298
10.225,-0.567,-0.064,-0.933,-2.901,-0.74,0.458
10.277,-0.568,-0.066,-0.934,-2.779,-1.053,-0.16
10.33,-0.566,-0.066,-0.933,-2.748,-1.046,-0.702
10.383,-0.563,-0.066,-0.933,-2.779,-0.878,-0.573
10.436,-0.559,-0.065,-0.935,-2.733,-0.817,0.053
10.488,-0.572,-0.061,-0.939,-2.718,-0.771,-0.305
10.542,-0.568,-0.068,-0.933,-2.832,-0.87,-0.573
