t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
0.980,-0.0547,-0.0352,0.0273,3,0.3042,0.7900,0.4705,-0.2488,3,0.1157,
0.992,-0.0547,-0.0352,0.0273,3,0.3040,0.7900,0.4706,-0.2488,3,0.1147,
1.002,-0.0547,-0.0352,0.0273,3,0.3038,0.7901,0.4706,-0.2490,3,0.1140,
1.014,-0.0938,-0.0195,0.1172,3,0.3038,0.7901,0.4706,-0.2490,3,0.1140,
1.025,-0.0938,-0.0195,0.1172,3,0.3034,0.7902,0.4704,-0.2494,3,0.1121,
1.036,-0.0938,-0.0195,0.1172,3,0.3033,0.7903,0.4702,-0.2496,3,0.1113,
1.046,-0.0938,-0.0195,0.1172,3,0.3032,0.7903,0.4700,-0.2499,3,0.1106,
1.056,-0.0938,-0.0195,0.1172,3,0.3032,0.7903,0.4701,-0.2499,3,0.1099,
1.068,-0.0938,-0.0195,0.1172,3,0.3030,0.7903,0.4702,-0.2500,3,0.1091,
1.079,-0.1914,0.0234,-0.1133,3,0.3030,0.7903,0.4702,-0.2500,3,0.1091,
1.089,-0.1914,0.0234,-0.1133,3,0.3027,0.7905,0.4702,-0.2498,3,0.1074,
1.100,-0.1914,0.0234,-0.1133,3,0.3026,0.7905,0.4702,-0.2498,3,0.1067,
1.111,-0.1914,0.0234,-0.1133,3,0.3026,0.7906,0.4700,-0.2499,3,0.1062,
1.122,-0.1914,0.0234,-0.1133,3,0.3026,0.7905,0.4701,-0.2500,3,0.1055,
1.133,-0.1914,0.0234,-0.1133,3,0.3026,0.7905,0.4703,-0.2499,3,0.1050,
1.143,-0.1680,-0.0703,-0.0195,3,0.3026,0.7905,0.4703,-0.2499,3,0.1050,
1.155,-0.1680,-0.0703,-0.0195,3,0.3024,0.7904,0.4705,-0.2497,3,0.1035,
1.165,-0.1680,-0.0703,-0.0195,3,0.3024,0.7905,0.4705,-0.2496,3,0.1028,
1.176,-0.1680,-0.0703,-0.0195,3,0.3024,0.7905,0.4704,-0.2496,3,0.1023,
1.186,-0.1680,-0.0703,-0.0195,3,0.3024,0.7906,0.4702,-0.2497,3,0.1018,
1.198,-0.1680,-0.0703,-0.0195,3,0.3024,0.7907,0.4700,-0.2498,3,0.1013,
1.209,0.1016,0.0742,0.2070,3,0.3024,0.7907,0.4700,-0.2498,3,0.1013,
1.219,0.1016,0.0742,0.2070,3,0.3021,0.7908,0.4699,-0.2499,3,0.1001,
1.230,0.1016,0.0742,0.2070,3,0.3021,0.7908,0.4699,-0.2500,3,0.0996,
1.241,0.1016,0.0742,0.2070,3,0.3020,0.7908,0.4700,-0.2500,3,0.0991,
1.251,0.1016,0.0742,0.2070,3,0.3019,0.7908,0.4702,-0.2499,3,0.0986,
1.261,0.1016,0.0742,0.2070,3,0.3019,0.7908,0.4702,-0.2499,3,0.0981,
1.272,0.1016,0.0742,0.2070,3,0.3018,0.7908,0.4703,-0.2499,3,0.0977,
1.283,0.0313,-0.0586,-0.1406,3,0.3018,0.7908,0.4703,-0.2499,3,0.0977,
1.294,0.0313,-0.0586,-0.1406,3,0.3015,0.7910,0.4702,-0.2500,3,0.0964,
1.305,0.0313,-0.0586,-0.1406,3,0.3013,0.7910,0.4700,-0.2501,3,0.0962,
1.315,0.0313,-0.0586,-0.1406,3,0.3012,0.7912,0.4698,-0.2502,3,0.0957,
1.327,0.0313,-0.0586,-0.1406,3,0.3010,0.7913,0.4697,-0.2502,3,0.0952,
1.337,0.0313,-0.0586,-0.1406,3,0.3009,0.7913,0.4697,-0.2504,3,0.0950,
1.349,-0.0742,-0.1016,0.1563,3,0.3009,0.7913,0.4697,-0.2504,3,0.0950,
1.359,-0.0742,-0.1016,0.1563,3,0.3007,0.7914,0.4695,-0.2506,3,0.0940,
1.371,-0.0742,-0.1016,0.1563,3,0.3006,0.7914,0.4695,-0.2506,3,0.0935,
1.381,-0.0742,-0.1016,0.1563,3,0.3005,0.7914,0.4696,-0.2505,3,0.0933,
1.392,-0.0742,-0.1016,0.1563,3,0.3003,0.7914,0.4698,-0.2504,3,0.0928,
1.403,-0.1172,0.0508,0.3047,3,0.3003,0.7914,0.4698,-0.2504,3,0.0928,
1.415,-0.1172,0.0508,0.3047,3,0.2998,0.7917,0.4697,-0.2504,3,0.0920,
1.425,-0.1172,0.0508,0.3047,3,0.2997,0.7917,0.4697,-0.2504,3,0.0916,
1.435,-0.1172,0.0508,0.3047,3,0.2996,0.7918,0.4697,-0.2504,3,0.0913,
1.446,-0.1172,0.0508,0.3047,3,0.2994,0.7919,0.4697,-0.2503,3,0.0908,
1.458,-0.1172,0.0508,0.3047,3,0.2992,0.7920,0.4697,-0.2502,3,0.0906,
1.469,0.2070,0.0820,-0.3047,3,0.2992,0.7920,0.4697,-0.2502,3,0.0906,
1.480,0.2070,0.0820,-0.3047,3,0.2990,0.7922,0.4694,-0.2506,3,0.0898,
1.490,0.2070,0.0820,-0.3047,3,0.2990,0.7922,0.4691,-0.2510,3,0.0896,
1.502,0.2070,0.0820,-0.3047,3,0.2990,0.7924,0.4687,-0.2512,3,0.0891,
1.512,-0.1914,-0.0586,-0.1758,3,0.2990,0.7924,0.4687,-0.2512,3,0.0891,
1.523,-0.1719,0.0156,-0.0586,3,0.2990,0.7924,0.4687,-0.2512,3,0.0891,
1.534,-0.1719,0.0156,-0.0586,3,0.2991,0.7925,0.4684,-0.2512,3,0.0881,
1.546,-0.1719,0.0156,-0.0586,3,0.2990,0.7926,0.4684,-0.2511,3,0.0879,
1.556,-0.1719,0.0156,-0.0586,3,0.2988,0.7926,0.4685,-0.2509,3,0.0876,
1.567,-0.1719,0.0156,-0.0586,3,0.2987,0.7927,0.4686,-0.2509,3,0.0874,
1.579,-0.0938,-0.0859,0.1211,3,0.2987,0.7927,0.4686,-0.2509,3,0.0874,
1.590,-0.0938,-0.0859,0.1211,3,0.2985,0.7928,0.4686,-0.2507,3,0.0867,
1.600,-0.0938,-0.0859,0.1211,3,0.2983,0.7928,0.4686,-0.2506,3,0.0864,
1.610,-0.0938,-0.0859,0.1211,3,0.2982,0.7929,0.4686,-0.2506,3,0.0862,
1.620,-0.0938,-0.0859,0.1211,3,0.2982,0.7930,0.4684,-0.2507,3,0.0859,
1.632,-0.0938,-0.0859,0.1211,3,0.2982,0.7930,0.4683,-0.2507,3,0.0857,
1.644,0.0625,0.0547,0.2383,3,0.2982,0.7930,0.4683,-0.2507,3,0.0857,
1.654,0.0625,0.0547,0.2383,3,0.2985,0.7927,0.4687,-0.2506,3,0.0852,
1.665,0.0625,0.0547,0.2383,3,0.2986,0.7926,0.4689,-0.2505,3,0.0850,
1.675,0.0625,0.0547,0.2383,3,0.2988,0.7925,0.4691,-0.2505,3,0.0847,
1.685,0.0625,0.0547,0.2383,3,0.2988,0.7924,0.4692,-0.2505,3,0.0845,
1.696,0.0625,0.0547,0.2383,3,0.2988,0.7922,0.4694,-0.2504,3,0.0842,
1.708,-0.1758,-0.0664,-0.2461,3,0.2988,0.7922,0.4694,-0.2504,3,0.0842,
1.719,-0.1758,-0.0664,-0.2461,3,0.2985,0.7920,0.4703,-0.2499,3,0.0837,
1.729,-0.1758,-0.0664,-0.2461,3,0.2985,0.7919,0.4706,-0.2497,3,0.0835,
1.740,-0.1758,-0.0664,-0.2461,3,0.2984,0.7917,0.4709,-0.2495,3,0.0833,
1.751,-0.1758,-0.0664,-0.2461,3,0.2982,0.7917,0.4712,-0.2494,3,0.0830,
1.762,-0.1758,-0.0664,-0.2461,3,0.2981,0.7917,0.4713,-0.2494,3,0.0828,
