t,AcX,AcY,AcZ,
20.968,-0.004,0.004,0.000,
21.069,0.004,0.004,0.000,
21.168,-0.031,0.004,0.000,
21.268,-0.023,0.004,0.000,
21.368,-0.016,0.004,0.000,
21.468,-0.016,0.004,0.000,
21.567,-0.016,0.004,0.000,
21.668,-0.008,0.004,-0.039,
21.767,0.027,0.004,0.008,
21.867,0.027,0.004,0.008,
21.967,0.012,0.004,-0.031,
22.067,0.004,0.004,0.016,
22.166,-0.031,0.004,0.016,
22.267,-0.023,0.004,0.016,
22.366,-0.023,0.004,0.008,
22.466,0.020,0.004,0.008,
22.567,0.020,0.004,0.008,
22.666,-0.023,0.004,0.016,
22.765,-0.016,0.004,0.008,
22.866,-0.008,0.004,0.008,
22.965,-0.008,0.004,0.008,
23.065,0.000,0.004,0.000,
23.165,0.027,0.004,0.000,
23.265,0.020,0.004,0.000,
23.365,0.012,0.004,0.000,
23.465,0.004,0.004,-0.039,
23.565,-0.031,0.004,0.008,
23.664,0.012,0.004,0.008,
23.765,0.012,0.004,-0.031,
23.864,0.004,0.004,0.008,
23.964,0.004,0.004,0.008,
24.064,-0.004,0.004,0.008,
24.164,-0.031,0.004,0.000,
24.263,0.012,0.012,0.000,
24.363,-0.023,0.012,0.000,
24.463,0.020,0.004,-0.039,
24.563,0.012,0.004,0.008,
24.664,0.012,0.004,0.008,
24.763,-0.023,-0.004,0.008,
24.862,0.012,-0.004,0.008,
24.962,-0.016,0.012,0.008,
25.063,-0.016,-0.004,0.008,
25.161,-0.008,0.004,0.000,
25.263,0.027,0.004,-0.031,
25.361,-0.016,0.004,0.008,
25.462,0.020,0.004,0.008,
25.561,0.012,0.004,0.008,
25.661,-0.023,0.004,0.000,
25.762,0.012,0.004,0.000,
25.861,0.012,0.004,0.000,
25.961,0.004,0.004,0.000,
26.061,-0.031,0.004,0.000,
26.161,-0.023,0.004,0.000,
26.260,-0.016,0.004,0.000,
26.361,0.027,0.004,0.000,
26.460,-0.008,0.004,0.000,
26.560,-0.008,0.004,0.000,
26.661,0.027,0.004,0.000,
26.760,0.020,0.004,0.000,
26.860,0.012,0.004,0.000,
26.960,0.004,0.004,0.000,
27.060,0.004,0.004,0.000,
27.159,-0.004,0.004,0.000,
27.259,-0.039,0.004,0.000,
27.359,-0.031,0.004,-0.031,
27.459,-0.016,0.004,0.016,
27.559,-0.016,0.004,0.016,
27.658,-0.016,0.012,0.008,
27.758,0.020,0.012,0.008,
27.858,-0.016,0.004,0.000,
27.957,-0.016,0.004,-0.039,
28.057,-0.008,0.004,0.008,
28.158,-0.008,0.004,0.008,
28.258,0.027,0.004,0.008,
28.357,0.020,0.004,0.000,
28.457,-0.016,0.004,0.000,
28.557,-0.016,0.004,-0.039,
28.656,-0.016,0.004,0.008,
28.757,0.020,0.004,-0.031,
28.857,0.012,0.012,0.008,
28.956,0.004,0.012,0.008,
29.057,-0.031,0.012,-0.031,
29.156,0.004,0.004,0.008,
29.256,0.004,0.004,0.008,
29.356,-0.023,0.004,0.008,
29.455,0.012,0.004,0.000,
29.555,0.012,0.004,0.000,
29.655,0.012,0.004,0.000,
29.755,0.012,-0.004,-0.039,
29.854,-0.023,-0.004,0.008,
29.955,-0.016,0.004,0.008,
30.054,-0.008,0.004,0.008,
30.155,0.027,0.035,-0.023,
30.255,0.027,-0.004,0.016,
30.355,0.020,-0.004,0.008,
30.455,0.012,0.004,0.008,
30.554,-0.031,0.004,0.000,
30.654,-0.023,0.004,0.000,
30.754,-0.023,0.004,-0.039,
30.854,0.012,0.004,0.008,
30.953,0.012,0.004,0.008,
31.054,0.012,0.004,0.008,
31.153,0.004,0.004,0.000,
31.253,0.012,0.004,0.000,
31.353,0.004,0.004,0.000,
31.452,-0.031,0.004,0.000,
31.552,-0.023,0.004,0.000,
31.652,-0.016,0.004,-0.039,
31.752,0.020,0.004,0.008,
31.851,0.012,0.004,0.008,
31.952,0.004,0.004,0.008,
32.052,0.004,0.004,-0.031,
32.152,-0.031,0.004,0.008,
32.251,-0.023,0.004,0.008,
32.351,0.012,0.004,0.008,
32.452,0.004,0.004,-0.031,
32.551,-0.031,0.004,-0.031,
32.651,0.004,0.004,0.016,
32.750,-0.031,0.004,0.008,
32.851,0.012,0.012,0.008,
32.950,0.012,0.012,-0.031,
